word,count
pusses,8184.34
pussiez,8184.34
pûtes,8184.31
pincer,8184.28
ma,8028.12
ou,8027.62
tous,7947.04
vu,7819.85
veut,7801.24
rien,7795.64
ses,7726.18
oui,7689.84
tout,7598.12
où,7559.03
voulez,7556.42
vois,7464.66
voulais,7412.5
voulait,7306.93
voulu,7214.67
savoir,7191.39
voudrais,7176.09
sait,7166.75
toute,7164.73
veulent,7070.87
savez,7061.14
vouloir,7016.28
toutes,7013.78
tout,6996.94
voudrait,6977.37
voulaient,6948.52
veuillez,6944.27
voulons,6939.35
vouliez,6939.03
voulut,6928.75
voudras,6925.74
voudra,6923.09
voudrez,6919.62
voudriez,6912.92
voulant,6912.17
veuille,6908.02
voulions,6904.59
voudraient,6901.88
voudront,6899.75
veuilles,6897.44
voudrions,6896.4
voulus,6896.02
voudrai,6895.12
voulût,6893.16
voulue,6893.05
voulurent,6892.14
veuillent,6891.67
voulues,6890.17
voudrons,6890.03
voulussent,6889.85
voulusse,6889.78
voulûmes,6889.51
savais,6889.04
voit,6861.95
savait,6838.98
voyez,6796.47
voyait,6727.46
voyons,6693.92
vue,6686.75
su,6681.3
vit,6649
voyais,6642.6
savent,6629.14
verra,6626.13
quand,6615.98
vis,6614.05
sache,6601.44
vus,6597.72
verras,6596.31
savons,6587.18
voyant,6580.99
verrez,6575.2
voie,6572.47
saura,6569.45
sachant,6569.27
voient,6567.55
saurait,6566.11
savaient,6565.21
verrai,6563.49
saviez,6561.21
saurai,6547.54
voyaient,6545.57
verrait,6544.53
saurais,6543.44
sut,6542.38
verrons,6542.02
saches,6540.36
sauras,6540.1
vues,6538.61
sachez,6538.56
savions,6537.89
verrais,6536.71
sachiez,6531.56
sauront,6530.78
verront,6530.43
voies,6530.09
sachent,6529.79
sus,6529.29
voyiez,6527.62
sauraient,6527.24
sût,6526.99
voyions,6526.87
vîmes,6526.58
vît,6525.27
saurez,6524.76
verraient,6524.43
verriez,6523.84
saurons,6523.24
verrions,6522.32
sauriez,6522.15
sachions,6522.11
surent,6521.78
sue,6521.66
vissent,6521.39
saurions,6521.18
sûmes,6520.9
sachons,6520.7
sues,6520.5
susse,6520.49
sussent,6520.43
sans,6455.12
là,6372.38
si,6064.14
toi,5939.68
ici,5789.58
alors,5622.86
dois,5547.47
ces,5540.02
aussi,5524.38
encore,5511.98
aux,5486.44
suis,5443.02
doit,5430.18
très,5421.46
tout,5395.66
viens,5349.65
les,5305.96
où,5177.05
dû,5158.08
deux,5133.84
jamais,4966.38
devait,4958.62
faut,4876.2
chose,4848.25
venir,4841.49
vient,4836.81
devrais,4822.87
devrait,4811.09
devez,4717.06
devais,4685.14
doivent,4682.12
devons,4680.03
venu,4658.19
devoir,4654.07
votre,4644
la,4641.24
temps,4640.88
devriez,4638.47
devaient,4625.56
venez,4623.8
si,4616.84
venait,4600.49
dut,4596.85
devraient,4584.86
devra,4581.24
devrions,4580.85
devions,4566.46
devras,4566.32
deviez,4565.92
dus,4565.09
devrez,4564.46
devant,4564.18
devrai,4562.22
devront,4561.05
due,4560.65
doive,4560.57
durent,4560.08
devrons,4558.2
dût,4555.59
dues,4554.24
dûmes,4552.34
doives,4552.14
dusse,4551.23
dussent,4551.21
dussiez,4550.98
dussions,4550.98
dusses,4550.82
même,4532.68
venue,4431.96
viennent,4417.6
tout,4408.98
vint,4374.65
venus,4372.1
venaient,4361.96
viendra,4354.38
vienne,4337.87
toujours,4332.28
venais,4331.53
venant,4328.37
viendrait,4308.51
viendrai,4305.98
venons,4303.75
viendront,4300.91
viendras,4295.92
viennes,4293.05
viendrais,4292.85
veniez,4290.96
venues,4290.8
vinrent,4290.42
viendrez,4288.13
viendraient,4286.38
venions,4286.3
vînt,4285.27
viendriez,4282.54
viendrons,4280.76
vins,4280.42
vinssent,4279.43
viendrions,4278.82
vinsse,4278.55
mes,4250.68
prendre,4190.07
homme,4155.74
parler,4126.4
pris,4087.89
fois,4078.5
ton,4067.58
prends,3881.95
petit,3876.26
crois,3869.21
jour,3865.25
peu,3836.32
vie,3696.59
prend,3688.32
parle,3677.02
choses,3645.52
prenez,3580.84
bon,3556.67
prit,3552.32
quoi,3538.2
femme,3531.83
prenait,3512.83
petite,3496.24
prise,3461.15
aime,3459.54
prennent,3437.27
prenant,3434.91
prendra,3427.73
parlé,3423.54
prenne,3417.35
prenaient,3414.24
prendrai,3413.07
hommes,3411.46
prenais,3409.93
prenons,3408.08
notre,3407.24
prendrait,3402.96
